cuda_line,cuda_source,sass_addr,sass_text,warp_stall_all,warp_stall_not_issued,sample_count,inst_executed,thread_inst_executed,thread_inst_pred_on,avg_threads,avg_threads_pred_on,divergent_branches,address_space,access_operation,access_size,l1_tag_global,l1_conflicts_nway,l2_sectors_excess,l2_sectors_global,l2_sectors_ideal,l2_evict_policies,l2_hit_evict_first,l2_hit_evict_last,l2_hit_evict_normal,l2_hit_evict_normal_demote,l2_miss_evict_first,l2_miss_evict_normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier_ni,stall_branch_resolving_ni,stall_dispatch_ni,stall_drain_ni,stall_imc_ni,stall_lg_ni,stall_long_sb_ni,stall_math_ni,stall_membar_ni,stall_mio_ni,stall_misc_ni,stall_no_inst_ni,stall_not_selected_ni,stall_selected_ni,stall_short_sb_ni,stall_sleeping_ni,stall_tex_ni,stall_wait_ni
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f20,"BMOV.32 B0, 0xffffffff",2,1,2,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f30,"BMOV.32.CLEAR B1, B0",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f40,"BMOV.32.CLEAR B2, B1",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f50,"BMOV.32.CLEAR B3, B2",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f60,"BMOV.32.CLEAR B4, B3",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f70,"BMOV.32.CLEAR B5, B4",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f80,"BMOV.32.CLEAR B6, B5",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154f90,"BMOV.32.CLEAR B7, B6",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154fa0,"BMOV.32.CLEAR B8, B7",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154fb0,"BMOV.32.CLEAR B9, B8",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154fc0,"BMOV.32.CLEAR B10, B9",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154fd0,"BMOV.32.CLEAR B11, B10",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154fe0,"BMOV.32.CLEAR B12, B11",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202154ff0,"BMOV.32.CLEAR B13, B12",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202155000,"BMOV.32.CLEAR B14, B13",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202155010,"BMOV.32.CLEAR B15, B14",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202155020,"BMOV.32 B15, 0x0",1,1,1,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202155030,"UMOV UR2, 0x1",0,0,0,2094,67008,67008,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"__global__ void naiveMatMul(float* A, float* B, float* C, int n) {",0x202155040,"MOV R1, c[0x0][0x28]",6,4,6,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,int row = blockIdx.y * blockDim.y + threadIdx.y;,0x202155070,"S2R R21, SR_CTAID.Y",2,1,2,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,int row = blockIdx.y * blockDim.y + threadIdx.y;,0x202155080,"S2R R2, SR_TID.Y",5,3,5,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
7,int row = blockIdx.y * blockDim.y + threadIdx.y;,0x2021550b0,"IMAD R21, R21, c[0x0][0x4], R2",4,3,4,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
